index,timestamp,lat,lng,rms,sensor_classification,sensor_score,distance_m,samples,original_road_tag,truth_quality,truth_context
0,"2026-04-25T11:40:50.050Z",49.10669879371356,16.728102836362062,2.161,"good",4,113,973,"unknown","average","Rider actively chose clean line on average S. Moravia road; sensor RMS reflects line-choice, not road"
1,"2026-04-25T11:40:54.048Z",49.105837940870515,16.72721118252349,2.94,"good",4,116,240,"unknown","average","Rider actively chose clean line on average S. Moravia road; sensor RMS reflects line-choice, not road"
2,"2026-04-25T11:40:58.053Z",49.104882774093035,16.726158361682987,2.408,"good",4,131,241,"unknown","average","Rider actively chose clean line on average S. Moravia road; sensor RMS reflects line-choice, not road"
3,"2026-04-25T11:57:51.049Z",49.059956218398284,16.563021329108818,1.756,"good",4,100,948,"rough","unknown","Rider stopped to set the rough tag; this segment was captured during transition before reaching the actually-rough stretch — original road_tag=rough is misattributed"
4,"2026-04-25T11:57:58.048Z",49.06011179176687,16.561494537356484,3.63,"fair",3,113,420,"rough","rough","Bumpy stretch with notable surface defects; segment 5 is the worst (RMS 5.78)"
5,"2026-04-25T11:58:06.041Z",49.06016294320689,16.560125953781142,5.778,"poor",2,100,479,"rough","rough","Bumpy stretch with notable surface defects; segment 5 is the worst (RMS 5.78)"
6,"2026-04-25T12:06:29.063Z",49.08147222876593,16.48542140634861,3.796,"fair",3,102,1266,"smooth","average","Same road type as cluster A but rider held a straight line; surface is wavy / has small repaired patches — original road_tag=smooth is relative to the rough stretch before, not absolute"
7,"2026-04-25T12:06:34.054Z",49.082356762936946,16.484421595169874,3.427,"fair",3,122,299,"smooth","average","Same road type as cluster A but rider held a straight line; surface is wavy / has small repaired patches — original road_tag=smooth is relative to the rough stretch before, not absolute"
8,"2026-04-25T12:06:39.057Z",49.08286239093425,16.483327225812232,3.273,"fair",3,100,301,"smooth","average","Same road type as cluster A but rider held a straight line; surface is wavy / has small repaired patches — original road_tag=smooth is relative to the rough stretch before, not absolute"
9,"2026-04-25T12:06:43.047Z",49.08296303896076,16.481815877652338,3.527,"fair",3,111,239,"smooth","average","Same road type as cluster A but rider held a straight line; surface is wavy / has small repaired patches — original road_tag=smooth is relative to the rough stretch before, not absolute"
10,"2026-04-25T12:06:46.062Z",49.083019880545564,16.480435897853905,3.793,"fair",3,101,181,"smooth","average","Same road type as cluster A but rider held a straight line; surface is wavy / has small repaired patches — original road_tag=smooth is relative to the rough stretch before, not absolute"
11,"2026-04-25T12:06:49.056Z",49.0831142689447,16.47898463752423,4.766,"fair",3,106,179,"smooth","average","Same road type as cluster A but rider held a straight line; surface is wavy / has small repaired patches — original road_tag=smooth is relative to the rough stretch before, not absolute"
12,"2026-04-25T12:06:53.045Z",49.08316473277303,16.477599096352193,3.932,"fair",3,101,240,"smooth","average","Same road type as cluster A but rider held a straight line; surface is wavy / has small repaired patches — original road_tag=smooth is relative to the rough stretch before, not absolute"
